28,Harry Potter and the Sorcerer's Stone,Adventure,http://wpc.556e.edgecastcdn.net/80556E/img.teasers.posters/FIzLtAAIWLh5DC_1_d.jpg,Based on the popular first book of the series by J.K. Rowling in the normal human world--the world of Muggles--Harry is a nobody treated like dirt by the aunt and uncle who begrudgingly inherited him when his parents were killed by the evil Vold...
29,Indiana Jones and the Kingdom of the Crystal Skull,Adventure,http://wpc.556e.edgecastcdn.net/80556E/img.teasers.posters/FICHSDHIyEDcGJ_1_d.jpg,In 1957 Indiana Jones is thrust back in action venturing into the jungles of South America in a race against Soviet agents to find the mystical Crystal Skull ...
30,The Lord of the Rings: Fellowship of the Ring,Fantasy,http://wpc.556e.edgecastcdn.net/80556E/img.teasers.posters/FIDtTHGIP2hIHI_1_d.jpg,The Lord of the Rings collectively tells the story of Frodo Baggins a Hobbit who battles against the Dark Lord Sauron to save his world Middle-earth from the grip of evil. In the trilogy of films The Fellowship of the Ring The Two Towers and The...
31,Iron Man 2,Superhero,http://wpc.556e.edgecastcdn.net/80556E/img.teasers.posters/FIiMfqiqNXxqmi_4_d.jpg,Paramount Pictures and Marvel Entertainment present the highly anticipated sequel to the blockbuster film based on the legendary Marvel Super Hero Iron Man reuniting director Jon Favreau and Oscar nominee Robert Downey Jr. In  Iron Man 2 u the...
32,Star Wars: Episode II - Attack of the Clones 3D,Sci-Fi,http://wpc.556e.edgecastcdn.net/80556E/img.teasers.posters/FI40d48dP2Sb68_1_d.jpg,Ten years later Anakin Skywalker shares a forbidden romance with Padmxe9 while Obi-Wan investigates an assassination attempt on the Princess and discovers a secret clone army crafted for the Jedi ...
33,Pirates of the Caribbean: At World's End,Adventure,http://wpc.556e.edgecastcdn.net/80556E/img.teasers.posters/FIEmOLGL3mPLIJ_3_d.jpg,As the age of piracy comes to a close Captain Jack Sparrow Will Turner and Elizabeth Swann must sail off the edge of the map navigate treachery and betrayal and make their final alliances for one last decisive battle. Our heroes must face Lord C...
34,Star Wars: Episode VI - Return of the Jedi,Sci-Fi,http://wpc.556e.edgecastcdn.net/80556E/img.teasers.posters/FIAUWBBDUkLTFC_1_d.jpg,As the Emperor himself oversees the construction of the new Death Star by Lord Darth Vader and the evil Galactic Empire smuggler Han Solo is rescued from the clutches of the vile gangster Jabba the Hutt by his friends Luke Skywalker Princess Lei...
35,Independence Day,Sci-Fi,http://wpc.556e.edgecastcdn.net/80556E/img.teasers.posters/FIFvsFHHcjJRJJ_1_d.jpg,Strange phenomena surface around the globe. The skies ignite. Terror races through the worlds major cities. As these extraordinary events unfold it becomes increasingly clear that a force of incredible magnitude has arrived; its mission: total ...
36,Pirates of The Caribbean: The Curse of The Black Pearl,Adventure,http://wpc.556e.edgecastcdn.net/80556E/img.teasers.posters/FIMRZUMOootGRO_1_d.jpg,For the roguish yet charming Captain Jack Sparrow (Depp) the crystalline waters of the Caribbean like the high seas the world over present a vast playground where adventure and mystery abound. But Jacks idyllic life capsizes after his nemesis t...
37,Harry Potter and the Half-Blood Prince,Adventure,http://wpc.556e.edgecastcdn.net/80556E/img.teasers.posters/FILWkOLNIrXYQP_1_d.jpg,Voldemort is tightening his grip on both the Muggle and wizarding worlds and Hogwarts is no longer the safe haven it once was. Harry suspects that dangers may even lie within the castle but Dumbledore is more intent upon preparing him for the fi...
38,The Twilight Saga: Eclipse,Romance,http://wpc.556e.edgecastcdn.net/80556E/img.teasers.posters/FIoLrssvSlvBsp_9_d.jpg,The third chapter in the Twilight franchise. As Seattle is ravaged by a string of mysterious killings and a malicious vampire continues her quest for revenge Bella once again finds herself surrounded by danger. In the midst of it all she is forc...
39,Harry Potter and the Deathly Hallows - Part 1,Adventure,http://wpc.556e.edgecastcdn.net/80556E/img.teasers.posters/FI3KP783RLdk66_4_d.jpg,Harry Potter and the Deathly Hallowsis a much-anticipated motion picture event to be told in two full-length parts. The long-feared war has begun and Voldemorts Death Eaters seize control of the Ministry of Magic and even Hogwarts terrorizing a...
40,The Twilight Saga: New Moon,Romance,http://wpc.556e.edgecastcdn.net/80556E/img.teasers.posters/FIGkUIKIJj60KG_1_d.jpg,In New Moon Bella Swan (Kristen Stewart) is devastated by the abrupt departure of her vampire love Edward (Robert Pattinson) but her spirit is rekindled by her growing friendship with the irresistible Jacob Black (Taylor Lautner). Suddenly she f...
41,The Sixth Sense,Horror,http://wpc.556e.edgecastcdn.net/80556E/img.teasers.posters/FI3Lx45aO7VL67_1_d.jpg,In this chilling psychological thriller eight-year-old Cole Sear is haunted by a dark secret: He is visited by ghosts. A helpless and reluctant channel Cole is terrified by threatening visitations from those with unresolved problems who appear f...
42,Up,Family,http://wpc.556e.edgecastcdn.net/80556E/img.teasers.posters/FIFRYKFFvns5JK_1_d.jpg,From the Academy Awardxae-nominated team of director Pete Docter (u201cMonsters Inc.u201d) and co-director Bob Peterson comes  Up u a comedic adventure taking off (and lifting spirits) in summer 2009. Carl Fredricksen spent his entire life dre...
43,Harry Potter and the Order of the Phoenix,Adventure,http://wpc.556e.edgecastcdn.net/80556E/img.teasers.posters/FINuvQRWi2ldRO_1_d.jpg,Harry Potter is faced with the unreliability of the very government of the magical world and the impotence of the authorities at Hogwarts. Despite this (or perhaps because of it) he finds depth and strength in his friends beyond what even he kne...
44,Inception,Sci-Fi,http://wpc.556e.edgecastcdn.net/80556E/img.teasers.posters/FIORXUOSEqvuTR_2_d.jpg,Acclaimed filmmaker Christopher Nolan directs an international cast in an original sci-fi actioner that travels around the globe and into the intimate and infinite world of dreams. Dom Cobb (Leonardo DiCaprio) is a skilled thief the absolute bes...
45,The Chronicles of Narnia: The Lion The Witch and The Wardrobe,Fantasy,http://wpc.556e.edgecastcdn.net/80556E/img.teasers.posters/FIx1fDxB8jisAy_1_d.jpg,The Chronicles of Narnia: The Lion The Witch and The Wardrobe  a spectacular live-actionCGI motion picture adaptation of C.S. Lewis beloved literary classic. Lewis timeless adventure follows the exploits of the four Pevensie siblings - Lucy Ed...
46,Star Wars: Episode V - The Empire Strikes Back,Sci-Fi,http://wpc.556e.edgecastcdn.net/80556E/img.teasers.posters/FI6Qva7fCUKE9e_1_d.jpg,After receiving a vision from Obi-Wan Kenobi and fleeing the ice world of Hoth with his friends after an Imperial attack Luke Skywalker travels to the marsh planet of Dagobah where he is instructed in the ways of the Force by the legendary Jedi ...
47,Harry Potter and the Goblet of Fire,Adventure,http://wpc.556e.edgecastcdn.net/80556E/img.teasers.posters/FIlrIpnlFW5Vpl_1_d.jpg,The pivotal fourth novel in the seven-part tale of Harry Potters training as a wizard and his coming of age. Harry wants to get away from the pernicious Dursleys and go to the International Quidditch Cup with Hermione Ron and the Weasleys. He w...
48,Home Alone,Comedy,http://wpc.556e.edgecastcdn.net/80556E/img.teasers.posters/FIguchilduiRjh_3_d.jpg,When his family heads off for a Christmas vacation in Europe a young boy finds that he has been left behind -- asleep in the attic guestroom.  un  unTaking advantage of his newfound freedom he begins to enjoy his Christmas vacation f...
49,The Matrix Reloaded,Sci-Fi,http://wpc.556e.edgecastcdn.net/80556E/img.teasers.posters/FIla3pmu6x8jnr_1_d.jpg,In the second chapter of the Matrix trilogy freedom fighters Neo (Reeves) Trinity (Moss) and Morpheus (Fishburne) continue to lead the revolt against the Machine Army unleashing their arsenal of extraordinary skills and weaponry against the syst...
50,Meet the Fockers,Comedy,http://wpc.556e.edgecastcdn.net/80556E/img.teasers.posters/FIBnbICCQQCZFI_1_d.jpg,The makers and stars behind the runaway hit of 2000 Meet the Parents are re-united in the follow-up comedy  Meet the Fockers . Now that Greg Focker (Stiller) is in with his soon-to-be in-laws Jack (De Niro) and Dina Byrnes it looks like smooth ...
51,The Hangover,Comedy,http://wpc.556e.edgecastcdn.net/80556E/img.teasers.posters/FIAEiEADvpNrEC_1_d.jpg,A Las Vegas-set comedy centered around three groomsmen who lose their about-to-be-wed buddy during their drunken misadventures then must retrace their steps in order to find him ...
52,The Twilight Saga: Breaking Dawn - Part 1,Romance,http://wpc.556e.edgecastcdn.net/80556E/img.teasers.posters/FIiH6pkqRQpAlq_4_d.jpg,In The Twilight Saga: Breaking Dawn - Part 1 u Bella (Kristen Stewart) and Edward (Robert Pattinson) plus those they love must deal with the chain of consequences brought on by a marriage honeymoon and the tumultuous birth of a childu2026 which...
53,Shrek,Family,http://wpc.556e.edgecastcdn.net/80556E/img.teasers.posters/FIrULvvrww17uy_1_d.jpg,Set in a strange colorful land populated by fairy tale characters SHREK is a hilarious comedy that will win over audiences of children and adults alike.  Shrek u (voiced by Mike Myers) is a fearsome green ogre living in isolation in his own co...
54,Harry Potter and the Chamber of Secrets,Adventure,http://wpc.556e.edgecastcdn.net/80556E/img.teasers.posters/FI0hU2455XOi30_1_d.jpg,Harry is banished to his room while Uncle Vernon hosts important clients. A house-elf named Dobby shows up in Harrys room with the warning that terrible danger awaits at Hogwarts and not to return there. Harry refuses to believe him but is lock...
55,The Incredibles,Superhero,http://wpc.556e.edgecastcdn.net/80556E/img.teasers.posters/FINPPUPVUv4eSN_1_d.jpg,From the Academy Award-winning creators of Toy Story Monsters Inc. and Finding Nemo comes this hilarious action-packed animated adventure about superheroes. Bob Parr used to be one of the worlds greatest superheroes (known to all as Mr. Incredi...
56,Dr. Seuss' How The Grinch Stole Christmas,Comedy,http://wpc.556e.edgecastcdn.net/80556E/img.teasers.posters/FIKsoKMQhPGrOQ_1_d.jpg,Inside a snowflake high atop Mt. Crumpit just north of town a certain cave-dwelling curmudgeon peers down on the Christmas-adoring Whos of Whoville as they make their frantic Yuletide preparations. And this isnt your run-of-the-mill sourpuss. T...
57,Jaws,Thriller,http://wpc.556e.edgecastcdn.net/80556E/img.teasers.posters/FIabHafizbcIcj_1_d.jpg,When during the height of beach season the town of Amity Island in Massachusetts is terrorized by attacks from a great white shark -- Martin Brody the new chief of police must solve the problem. As the Mayor tries to avoid a panic which would de...
58,Star Trek,Sci-Fi,http://wpc.556e.edgecastcdn.net/80556E/img.teasers.posters/FIkntsmpyTrwns_1_d.jpg,The greatest adventure of all time begins with  Star Trek  the incredible story of a young crews maiden voyage onboard the most advanced starship ever created: the U.S.S. Enterprise. On a journey filled with action comedy and cosmic peril the ...
59,I Am Legend,Horror,http://wpc.556e.edgecastcdn.net/80556E/img.teasers.posters/FIhn7hhhMUODko_1_d.jpg,Robert Neville (Will Smith) is a brilliant scientist but even he could not contain the terrible virus that was unstoppable incurable... and manmade. Somehow immune Neville is now the last human survivor in what is left of New York City... and ma...
60,The Blind Side,Drama,http://wpc.556e.edgecastcdn.net/80556E/img.teasers.posters/FI9GObab32Qxc9_3_d.jpg,A poor undereducated 344-pound African-American teenager in Memphis whose father was murdered and whose mother was a crack addict is shuffled through the public school system despite his low grade point average and absenteeism. But his tremendou...
61,Monsters Inc. 3D,Family,http://wpc.556e.edgecastcdn.net/80556E/img.teasers.posters/FIaqBhciSzADdg_2_d.jpg,In the realm of things that go bump in the night ? another animated flick from Pixar (Toy Story Toy Story 2 A Bugs Life) this comedy-adventure tells the story of a large furry spotted and horned James P. Sullivan (John Goodman) and his best fri...
62,The Hangover Part II,Comedy,http://wpc.556e.edgecastcdn.net/80556E/img.teasers.posters/FIawFebjVappdc_4_d.jpg,Phil Stu Alan and Doug travel to exotic Thailand for Stus wedding. After the unforgettable bachelor party in Las Vegas Stu is taking no chances and has opted for a safe subdued pre-wedding brunch. However things dont always go as planned. What...
63,Despicable Me,Animation,http://wpc.556e.edgecastcdn.net/80556E/img.teasers.posters/FIaT8gfgyeP9db_7_d.jpg,In a happy suburban neighborhood surrounded by white picket fences with flowering rose bushes sits a black house with a dead lawn. Unbeknownst to the neighbors hidden beneath this home is a vast secret hideout. Surrounded by a small army of mini...
64,Batman,Superhero,http://wpc.556e.edgecastcdn.net/80556E/img.teasers.posters/FIHqhOMQ6DYpLM_1_d.jpg,Tim Burtons BATMAN inspired by Frank Millers graphic novel The Dark Knight Returns is a Gothic Wagnerian treatment of the  Batman u mythos that explains the origins of  Batman u (Michael Keaton) and his nemesis the maniacal Joker (a ripe Ja...
65,Night at the Museum,Family,http://wpc.556e.edgecastcdn.net/80556E/img.teasers.posters/FI9ubfdgvAh1bf_1_d.jpg,A bumbling security guard at the Museum of Natural History accidentally lets loose an ancient curse that causes the animals and insects on display to come to life and wreak havoc ...
66,Men In Black,Action,http://wpc.556e.edgecastcdn.net/80556E/img.teasers.posters/FItLUttCiqkJxv_1_d.jpg,Men in Black follows the exploits of agents Kay (Jones) and Jay (Smith) members of a top-secret organization established to monitor and police alien activity on Earth. The two Men in Black find themselves in the middle of the deadly plot by an i...
67,Harry Potter and the Prisoner of Azkaban,Adventure,http://wpc.556e.edgecastcdn.net/80556E/img.teasers.posters/FIGmDGJPHqCpKL_1_d.jpg,Harry Potter and his friends Ron and Hermione return as teenagers to Hogwarts School of Witchcraft and Wizardry for their third year of study where they delve into the mystery surrounding an escaped prisoner who poses a dangerous threat to the y...
68,Toy Story 2,Family,http://wpc.556e.edgecastcdn.net/80556E/img.teasers.posters/FIfkmojk9Juqig_2_d.jpg,Toys will be toys - except when their owners arent around - and now the gang from Andys room is all wound up and ready to play once again in  Toy Story 2 u the exciting all-new sequel to the landmark 1995 blockbuster from Disney and Pixar. Bu...
69,Cars,Family,http://wpc.556e.edgecastcdn.net/80556E/img.teasers.posters/FIl47omlzXE8on_1_d.jpg,After taking moviegoers magically into the realm of toys bugs monsters fish and superheroes the masterful storytellers and technical wizards at Pixar Animation Studios (The Incredibles Finding Nemo Monsters Inc.) and Academy Awardxae-winning dir...
70,Bruce Almighty,Comedy,http://wpc.556e.edgecastcdn.net/80556E/img.teasers.posters/FIN0BPRRjuZ9RR_1_d.jpg,Bruce is a whiny guy who questions once too often why God gives him so much grief. He is suddenly given almighty power for 24 hours to teach him how difficult it is to run the world and see if he can do a better job. If Bruce fails to do a bette...
71,Raiders of the Lost Ark,Adventure,http://wpc.556e.edgecastcdn.net/80556E/img.teasers.posters/FIu8DywvjV0UxD_2_d.jpg,Archeologist and university professor Indiana Jones must retrieve the mythic Lost Ark of the Covenant before the it gets into the hands of Adolf Hitler who plans on useing its power to guarantee his global conquest ...
72,Twister,Thriller,http://wpc.556e.edgecastcdn.net/80556E/img.teasers.posters/FIOgPQOROalkST_1_d.jpg,In the heartland of America the sky is a majestic wonder as it rises infinitely above the vast level horizon. Cloud formations gracefully soar and scuttle across the endlessness of blue. Gentle spring breezes whisper across the plains. All eleme...
73,My Big Fat Greek Wedding,Comedy,http://wpc.556e.edgecastcdn.net/80556E/img.teasers.posters/FIJ0ONKKSusfNN_1_d.jpg,Toula Portokalos is 30 Greek and works in her familys restaurant Dancing Zorbas in Chicago. All her father Gus wants is for her to get married to a nice Greek boy. But Toula is looking for more in life. Her mother convinces Gus to let her take...
74,Ghostbusters,Comedy,http://wpc.556e.edgecastcdn.net/80556E/img.teasers.posters/FI7VMdabfwkea8_3_d.jpg,Dr. Peter Venkman and his colleagues are kicked out of their cushy university academic posts and decide to start private practice as paranormal investigators or  Ghostbusters u.  un  unAlthough the three scientists have a hard time...
75,Shrek Forever After,Animation,http://wpc.556e.edgecastcdn.net/80556E/img.teasers.posters/FIji3popAkE5mj_2_d.jpg,After challenging an evil dragon rescuing a beautiful princess and saving your in-lawsu2019 kingdom whatu2019s an ogre to do? Well if youu2019re Shrek you suddenly wind up a domesticated family man. Instead of scaring villagers away like he used...
76,Pirates of the Caribbean: On Stranger Tides,Adventure,http://wpc.556e.edgecastcdn.net/80556E/img.teasers.posters/FIGMuOKLKyBtKP_10_d.jpg,Produced by Jerry Bruckheimer and directed by Rob Marshall u201c Pirates of the Caribbean: On Stranger Tides uu201d captures the fun adventure and humor that ignited the hit franchiseu2014this time in Disney Digital 3Du2122. Johnny Depp return...
77,Beverly Hills Cop,Action,http://wpc.556e.edgecastcdn.net/80556E/img.teasers.posters/FIgSEoloJ79hjk_1_d.jpg,Detroit cop Axel Foley having recently watched his good friend die in front of him heads to Beverly Hills to uncover the reason for his friends murder. Axel slyly gains the cooperation of the Beverly Hills police department specifically Taggart...
78,X-Men: The Last Stand,Superhero,http://wpc.556e.edgecastcdn.net/80556E/img.teasers.posters/FI7wy89ccTJKab_1_d.jpg,In X-Men: The Last Stand the final chapter in the X-Men motion picture trilogy a cure for mutancy threatens to alter the course of history. For the first time mutants have a choice: retain their uniqueness though it isolates and alienates them o...
79,War of the Worlds,Sci-Fi,http://wpc.556e.edgecastcdn.net/80556E/img.teasers.posters/FI4AD767FCK175_1_d.jpg,On June 29th 2005 Earth goes to war. From Paramount Pictures and DreamWorks Pictures comes  War of the Worlds  directed by Steven Spielberg and starring international superstar Tom Cruise. A contemporary retelling of H.G. Wellss seminal classi...
80,Cast Away,Adventure,http://wpc.556e.edgecastcdn.net/80556E/img.teasers.posters/FI6JC7advvaN98_1_d.jpg,Hanks stars as Chuck Noland a FedEx systems engineer whose personal and professional life are ruled by the clock. His fast-paced career takes him often at a moments notice to far-flung locales -and away from his girlfriend Kelly played by Helen...
81,The Exorcist,Horror,http://wpc.556e.edgecastcdn.net/80556E/img.teasers.posters/FIHWUJMQcpLTMJ_1_d.jpg,In a quiet neighborhood in a house with all the modern conveniences an innocent young girl becomes afflicted. Her mother cant help her. Doctors uselessly test and attempt to treat her. In desperation - fearing her illness reaches beyond the phy...
82,The Lost World: Jurassic Park,Adventure,http://wpc.556e.edgecastcdn.net/80556E/img.teasers.posters/FIC9JKEGKU6qGF_1_d.jpg,Four years after the nightmare at the Jurassic Park theme park John Hammond mounts another expedition to document the behavior of the dinosaurs at another previously undisclosed location.  un  unDr. Ian Malcolm grudgingly goes along ...
83,Hancock,Superhero,http://wpc.556e.edgecastcdn.net/80556E/img.teasers.posters/FIGlDHHNtVV9KN_1_d.jpg, Hancock u centers on a tortured superhero (Will Smith) who crash-lands in Sheepshead Bay Brooklyn and tries to transform himself by romancing an alluring housewife causing chaos in the city ...
84,Signs,Sci-Fi,http://wpc.556e.edgecastcdn.net/80556E/img.teasers.posters/FILoBNNP5dIlPN_1_d.jpg,A widowed Pennsylvania farmer Graham Hess (Mel Gibson) discovers strange 500-foot crop circles in his corn fields. Were they created by pranksters or ? aliens? Along with his brother Merrill (Joaquin Phoenix) and his two children daughter Bo (Ab...
